iter	Passed	Remaining
0	144	144574
1	147	73472
2	148	49332
3	149	37104
4	149	29766
5	150	24871
6	150	21414
7	151	18777
8	151	16721
9	153	15228
10	154	13920
11	155	12817
12	156	11883
13	158	11138
14	159	10498
15	161	9913
16	161	9364
17	162	8874
18	163	8439
19	164	8048
20	164	7690
21	165	7362
22	166	7060
23	166	6784
24	167	6528
25	167	6291
26	168	6076
27	169	5872
28	169	5683
29	170	5503
30	170	5338
31	171	5184
32	171	5033
33	172	4892
34	172	4761
35	173	4635
36	173	4518
37	174	4406
38	174	4300
39	174	4197
40	175	4100
41	175	4007
42	176	3918
43	176	3832
44	176	3751
45	177	3672
46	177	3597
47	177	3525
48	178	3454
49	178	3388
50	178	3324
51	178	3261
52	179	3202
53	179	3144
54	179	3089
55	180	3035
56	180	2984
57	180	2934
58	180	2885
59	181	2839
60	181	2796
61	182	2754
62	182	2712
63	182	2671
64	182	2631
65	183	2593
66	183	2555
67	183	2519
68	184	2483
69	184	2449
70	184	2415
71	184	2382
72	185	2350
73	185	2319
74	185	2289
75	185	2260
76	186	2231
77	186	2203
78	186	2176
79	186	2149
80	187	2124
81	187	2098
82	187	2074
83	188	2050
84	188	2026
85	188	2003
86	188	1981
87	189	1959
88	189	1937
89	189	1916
90	189	1896
91	190	1876
92	190	1857
93	190	1837
94	190	1818
95	191	1800
96	191	1782
97	191	1764
98	191	1747
99	192	1730
100	192	1713
101	192	1697
102	193	1681
103	193	1665
104	193	1650
105	193	1635
106	194	1621
107	194	1606
108	194	1592
109	195	1578
110	195	1565
111	195	1553
112	196	1540
113	196	1527
114	196	1514
115	197	1502
116	197	1489
117	197	1477
118	197	1465
119	198	1453
120	198	1441
121	198	1430
122	199	1419
123	199	1407
124	199	1396
125	199	1386
126	200	1375
127	200	1364
128	200	1354
129	200	1344
130	201	1334
131	201	1324
132	201	1314
133	201	1305
134	202	1295
135	202	1286
136	202	1276
137	202	1267
138	203	1258
139	203	1250
140	203	1241
141	204	1232
142	204	1224
143	204	1216
144	204	1207
145	205	1199
146	205	1191
147	205	1183
148	205	1176
149	206	1168
150	206	1160
151	206	1153
152	206	1145
153	207	1138
154	207	1131
155	207	1124
156	208	1116
157	208	1109
158	209	1106
