Endcity,2024/8/18_In,2024/8/19_In,2024/8/20_In,2024/8/21_In,2024/8/22_In,2024/8/23_In,2024/8/24_In,2024/8/25_In,2024/8/26_In,2024/8/27_In,2024/8/28_In,2024/8/29_In,2024/8/30_In,2024/8/31_In,2024/9/1_In,2024/9/2_In,2024/9/3_In,2024/9/4_In,2024/9/5_In,2024/9/6_In,2024/9/7_In,2024/9/8_In,2024/9/9_In,2024/9/10_In,2024/9/11_In,2024/9/12_In,2024/9/13_In,2024/9/14_In,2024/9/15_In,2024/9/16_In,2024/9/17_In,2024/9/18_In,
上海,94.22055555,77.60833333,73.01805556,70.11722222,70.47472222,75.9125,77.67194445,98.6775,75.27527778,69.66888889,69.18944444,68.14972222,69.38166667,69.1025,77.13888889,64.91777778,62.78333333,63.05027778,63.40527778,67.57666667,67.33777778,75.54333333,64.40805556,63.15222222,62.96166666,65.065,65.70527778,69.36472222,64.3,42.35638889,103.7505556,80.9,71.31829861
丽水,6.443055557,6.394166667,6.20861111,6.248055554,6.353611109,6.840833331,7.325833334,7.227777777,6.379444443,6.237499997,6.097777776,6.006666667,6.279722222,6.17111111,5.907222226,5.258055558,5.455,5.511944445,5.5075,5.970277777,6.571944445,6.045555555,5.586111109,5.498888889,5.544166667,5.556944445,5.755833333,6.84277778,7.694444446,6.807500001,5.90277778,6.038333332,6.177170139
亳州,7.660833334,8.581388885,8.675555557,8.595277775,8.668333332,8.97111111,9.268333333,9.270833335,8.734444444,8.504166669,8.644722221,8.647777774,8.746388891,8.465833333,7.130833334,6.336944447,6.232777776,6.334722223,6.501111113,7.287500001,8.928611109,7.938333333,7.047777779,6.781388886,6.914444444,6.565833331,7.11416667,10.0375,11.975,9.614722224,5.939722224,6.583055554,8.021857639
六安,11.56972222,11.92833334,11.60833334,12.04861111,11.92027777,13.35583333,15.35444445,14.34111111,11.62694445,11.3375,11.27916667,11.455,12.98888889,13.68611111,11.35611111,9.495833332,9.250555554,9.248888892,9.551666667,11.89888889,13.60305556,11.87333333,9.855277777,9.822777778,9.370833333,9.306944448,10.03361111,14.97944444,19.13805555,16.91361111,11.6525,9.892222219,11.92949653
南京,50.59888889,44.75972222,41.08583333,41.37583333,44.61611111,48.57,50.95388889,58.24583334,44.24472222,42.41611111,42.32833333,42.49305556,47.1175,50.87888889,47.35388889,35.30555556,35.02194445,36.48666667,38.45277778,43.96861111,48.75027778,46.48666667,35.93833333,35.90111112,35.04722222,35.97111111,37.15777778,44.99277778,49.20416667,38.83388889,68.25416667,46.16833334,44.030625
南通,25.72638889,26.22388889,25.25666667,25.04027778,25.95555556,30.58166667,30.63972223,30.38833333,26.37222222,25.18444445,25.72944444,25.53111111,28.58305555,29.22916666,25.14138889,21.77805556,21.73361111,22.07583333,22.52611111,26.47444445,28.26,25.27833334,23.16138889,22.0675,21.52805555,23.40166667,24.19388889,33.67833334,34.28861111,18.52361111,22.9075,24.84916667,25.69717014
台州,14.34305556,13.79166667,13.79861111,13.56194444,14.14666667,15.98527778,17.10166667,17.03833333,13.99138889,14.13472222,13.82388889,13.24166667,14.005,14.01722223,13.01444444,11.51472222,11.66972223,12.10361111,12.86888889,14.0525,14.36444444,13.63166667,12.22138889,12.23222222,11.89027778,12.29722222,12.84333334,15.01,14.72083334,12.83444445,14.28694445,14.22305556,13.71127604
合肥,35.28861111,31.03083333,29.09527778,29.64444445,30.56833333,33.49611111,33.89472223,41.32444444,30.26361111,28.97138889,29.18194445,30.67027778,33.68777778,34.77138889,32.72055556,25.57416667,24.53277778,25.07444445,26.12361111,30.72,34.76944445,33.91222222,25.85277778,26.23916667,25.77944445,26.25416667,27.59888889,33.66527778,34.41888889,34.05972222,68.31472221,37.09972222,32.01872396
嘉兴,46.16833334,45.01,44.55333333,43.65194445,43.9475,46.89,48.81055556,49.1925,44.0075,41.82222222,42.3925,41.63472222,44.00361111,44.20694445,42.22361111,39.98333333,39.98611111,40.72833333,40.92888889,43.56444444,45.56916667,44.03805555,41.37888889,41.09333333,40.49416667,42.31444445,42.85611111,46.87916667,47.84638889,31.17666666,51.01222222,45.75472222,43.56624132
宁波,29.68027778,26.69888889,26.74694444,26.56861111,27.21972222,31.47166667,32.06916667,33.31027778,27.16166667,25.7875,26.09194444,26.03416667,27.23638889,26.95305556,24.98361111,22.91138889,23.40166667,24.29138889,24.68,26.89888888,26.82472222,26.71,24.01916667,24.27194444,24.37527778,25.19888889,25.98694445,28.44027778,24.50138889,19.00694444,30.97638889,28.85638889,26.54267361
安庆,6.343055556,6.450833333,6.656944441,6.889444442,7.069166667,7.818611109,8.389999999,7.579999999,6.541666665,6.715,6.891666668,6.967500001,7.916944446,8.618888886,6.494166666,5.358055557,5.352777777,5.350833332,5.548333333,6.292777776,7.60611111,6.808333335,6.10527778,5.7125,5.560833335,5.655277777,6.156111109,9.562777779,12.42555556,8.83611111,5.958055555,5.91888889,6.923515625
宣城,11.24888889,11.72611111,10.91277778,11.10861111,12.01611111,13.71416667,15.10944444,12.75222222,11.34583333,10.72694445,10.58,10.47777778,11.29416667,11.49777778,9.697499999,8.767500002,8.944722224,9.147499999,9.193055559,10.20472222,11.00861111,9.548055556,9.747222221,9.297222221,8.899722223,9.218055556,9.639444447,12.47666667,15.82777778,10.68861111,8.866666666,10.16611111,10.8078125
宿州,12.74944444,13.34222222,13.29194445,13.785,13.63333333,14.77694445,15.51638889,15.26166667,13.73916667,13.16111111,13.26555556,13.43916667,14.09166667,14.14055556,11.93388889,10.64666667,10.38333333,10.90638889,10.82833333,12.31,15.6075,13.42666667,11.94138889,11.745,11.50361111,11.41611111,12.4825,17.63694444,21.91583334,17.89527778,10.25916667,10.56333333,13.36237847
宿迁,13.90222222,14.35611111,14.10666666,14.98861111,14.75027778,15.91583334,16.905,17.045,14.86222222,14.32638889,14.50027778,15.065,15.78833333,15.82,12.68138889,11.80583333,12.04305555,12.53944445,12.52416666,13.43416667,15.91083334,14.59777778,13.06416666,13.2025,12.79361111,12.79027778,14.23555556,20.74694444,24.47638889,18.61638889,12.28194445,13.01944444,14.78424479
常州,37.3325,37.12194445,35.08527778,35.065,37.25,40.09555556,41.43805556,44.32972222,37.62472223,35.95555555,36.28194444,36.54472223,39.44333334,41.59777778,36.31611111,31.72833333,32.34638888,32.62277778,33.3375,37.23638889,41.39055556,36.39833333,32.84361111,33.35333334,31.2675,33.73777777,34.93833333,40.85222222,43.24416666,25.56777778,42.35111111,37.46277777,36.63003472
徐州,14.69861111,15.59555556,15.58861111,16.525,16.48666666,18.16805556,19.91277778,18.84361111,15.86861112,15.44555556,15.9375,15.88861111,16.52888889,16.91527778,13.64694444,11.89055555,11.92055555,12.64305556,12.68083333,14.67416667,18.82527778,16.25472222,13.18611111,13.34666667,13.42638889,13.16277778,14.22111111,19.76611111,23.0275,18.48361111,11.11694445,13.14277778,15.55685764
扬州,17.92888889,18.235,17.12722222,17.67833333,18.67555556,20.98916666,22.38694444,22.60888889,18.43666667,18.43861111,18.62333333,18.38111111,20.76444444,22.22555556,18.46361111,15.08361112,15.47583334,15.5525,16.16305556,19.00166667,22.55444445,19.83111111,16.04166667,16.57388889,15.37222222,16.38111111,17.38361111,24.10138889,27.52333333,17.57527778,19.98444445,18.37194444,18.87295139
无锡,57.39111111,55.84305556,53.55694444,53.04777778,55.50611111,60.12361111,61.6975,64.94138889,55.5975,53.72638888,54.14833334,54.28972223,57.73472223,58.15555556,52.85333333,48.38416666,49.41555555,50.00027778,51.03833332,55.5663889,58.15138888,56.06722222,51.06361111,52.57527778,48.75472222,51.2075,53.32333333,61.38750001,62.47527778,36.41194444,62.42305557,55.47305555,54.76036458
