Keyword,City,Date,All,PC,Mobile
台风,上海,2024/8/21,2882,957,1925
台风,上海,2024/8/22,1968,849,1119
台风,上海,2024/8/23,1687,698,989
台风,上海,2024/8/24,1137,229,908
台风,上海,2024/8/25,1282,282,1000
台风,上海,2024/8/26,2295,896,1399
台风,上海,2024/8/27,3187,1056,2131
台风,上海,2024/8/28,2920,995,1925
台风,上海,2024/8/29,2612,959,1653
台风,上海,2024/8/30,2007,883,1124
台风,上海,2024/8/31,1290,321,969
台风,上海,2024/9/1,1694,392,1302
台风,上海,2024/9/2,2920,1021,1899
台风,上海,2024/9/3,3352,1201,2151
台风,上海,2024/9/4,3698,1315,2383
台风,上海,2024/9/5,8720,3727,4993
台风,上海,2024/9/6,25127,6498,18629
台风,上海,2024/9/7,7665,1372,6293
台风,上海,2024/9/8,4457,923,3534
台风,上海,2024/9/9,4179,1594,2585
台风,上海,2024/9/10,13805,3803,10002
台风,上海,2024/9/11,19319,5897,13422
台风,上海,2024/9/12,20477,6368,14109
台风,上海,2024/9/13,32502,10160,22342
台风,上海,2024/9/14,69338,19072,50266
台风,上海,2024/9/15,151177,18052,133125
台风,上海,2024/9/16,162567,18153,144414
台风,上海,2024/9/17,27413,3180,24233
台风,上海,2024/9/18,67081,21026,46055
台风,上海,2024/9/19,133808,37367,96441
台风,上海,2024/9/20,62280,14884,47396
台风,丽水,2024/8/21,397,112,285
台风,丽水,2024/8/22,224,83,141
台风,丽水,2024/8/23,250,85,165
台风,丽水,2024/8/24,180,61,119
台风,丽水,2024/8/25,207,63,144
台风,丽水,2024/8/26,231,93,138
台风,丽水,2024/8/27,307,93,214
台风,丽水,2024/8/28,375,120,255
台风,丽水,2024/8/29,264,102,162
台风,丽水,2024/8/30,212,91,121
台风,丽水,2024/8/31,223,68,155
台风,丽水,2024/9/1,246,72,174
台风,丽水,2024/9/2,353,125,228
台风,丽水,2024/9/3,325,110,215
台风,丽水,2024/9/4,344,123,221
台风,丽水,2024/9/5,590,179,411
台风,丽水,2024/9/6,1239,299,940
台风,丽水,2024/9/7,633,140,493
台风,丽水,2024/9/8,463,101,362
台风,丽水,2024/9/9,310,102,208
台风,丽水,2024/9/10,631,142,489
台风,丽水,2024/9/11,973,239,734
台风,丽水,2024/9/12,1182,321,861
台风,丽水,2024/9/13,1353,425,928
台风,丽水,2024/9/14,1861,645,1216
台风,丽水,2024/9/15,1977,330,1647
台风,丽水,2024/9/16,1664,245,1419
台风,丽水,2024/9/17,969,127,842
台风,丽水,2024/9/18,1526,554,972
台风,丽水,2024/9/19,2318,817,1501
台风,丽水,2024/9/20,1058,276,782
台风,亳州,2024/8/21,58,0,58
台风,亳州,2024/8/22,67,0,67
台风,亳州,2024/8/23,122,59,63
台风,亳州,2024/8/24,65,0,65
台风,亳州,2024/8/25,122,57,65
台风,亳州,2024/8/26,120,57,63
台风,亳州,2024/8/27,126,57,69
台风,亳州,2024/8/28,127,57,70
台风,亳州,2024/8/29,115,57,58
台风,亳州,2024/8/30,66,0,66
台风,亳州,2024/8/31,115,57,58
台风,亳州,2024/9/1,120,57,63
台风,亳州,2024/9/2,65,0,65
台风,亳州,2024/9/3,65,0,65
台风,亳州,2024/9/4,176,57,119
台风,亳州,2024/9/5,207,68,139
台风,亳州,2024/9/6,349,97,252
台风,亳州,2024/9/7,284,78,206
台风,亳州,2024/9/8,236,66,170
台风,亳州,2024/9/9,184,63,121
台风,亳州,2024/9/10,149,57,92
台风,亳州,2024/9/11,92,0,92
台风,亳州,2024/9/12,176,66,110
台风,亳州,2024/9/13,189,68,121
台风,亳州,2024/9/14,248,66,182
台风,亳州,2024/9/15,415,78,337
台风,亳州,2024/9/16,837,89,748
台风,亳州,2024/9/17,978,95,883
台风,亳州,2024/9/18,506,104,402
台风,亳州,2024/9/19,428,93,335
台风,亳州,2024/9/20,310,78,232
台风,六安,2024/8/21,130,57,73
台风,六安,2024/8/22,137,59,78
台风,六安,2024/8/23,119,61,58
台风,六安,2024/8/24,126,57,69
