date,time,direction,type,time,windspeed,lon,lat
2024/9/16 0:00,0:00:00,西,台风,2024/9/16 0:00,40,123.9,30.4
2024/9/16 0:00,1:00:00,西,强台风,2024/9/16 1:00,42,123.6,30.5
2024/9/16 0:00,2:00:00,西西北,强台风,2024/9/16 2:00,42,123.2,30.5
2024/9/16 0:00,3:00:00,西西北,强台风,2024/9/16 3:00,42,123,30.6
2024/9/16 0:00,4:00:00,西西北,强台风,2024/9/16 4:00,42,122.8,30.6
2024/9/16 0:00,5:00:00,西西北,强台风,2024/9/16 5:00,45,122.5,30.7
2024/9/16 0:00,5:00:00,西西北,强台风,2024/9/16 5:00,45,122.5,30.7
2024/9/16 0:00,6:00:00,西西北,强台风,2024/9/16 6:00,45,122.3,30.7
2024/9/16 0:00,7:00:00,西西北,强台风,2024/9/16 7:00,45,122.1,30.8
2024/9/16 0:00,8:00:00,西西北,强台风,2024/9/16 8:00,42,121.8,30.9
2024/9/16 0:00,8:00:00,西西北,强台风,2024/9/16 8:00,42,121.8,30.9
2024/9/16 0:00,9:00:00,西西北,台风,2024/9/16 9:00,40,121.6,31
2024/9/16 0:00,10:00:00,西西北,台风,2024/9/16 10:00,38,121.4,31.1
2024/9/16 0:00,11:00:00,西西北,台风,2024/9/16 11:00,38,121.1,31.2
2024/9/16 0:00,12:00:00,西西北,台风,2024/9/16 12:00,38,120.9,31.3
2024/9/16 0:00,13:00:00,西西北,台风,2024/9/16 13:00,35,120.7,31.4
2024/9/16 0:00,13:00:00,西西北,台风,2024/9/16 13:00,35,120.7,31.4
2024/9/16 0:00,14:00:00,西-西北,台风,2024/9/16 14:00,33,120.5,31.5
2024/9/16 0:00,14:00:00,西西北,台风,2024/9/16 14:00,33,120.5,31.5
2024/9/16 0:00,15:00:00,西西北,强热带风暴,2024/9/16 15:00,30,120.2,31.5
2024/9/16 0:00,16:00:00,西西北,强热带风暴,2024/9/16 16:00,30,120.1,31.5
2024/9/16 0:00,17:00:00,西西北,强热带风暴,2024/9/16 17:00,30,119.9,31.5
2024/9/16 0:00,18:00:00,西西北,强热带风暴,2024/9/16 18:00,28,119.8,31.6
2024/9/16 0:00,18:00:00,西西北,强热带风暴,2024/9/16 18:00,28,119.8,31.6
2024/9/16 0:00,19:00:00,西西北,强热带风暴,2024/9/16 19:00,28,119.6,31.7
2024/9/16 0:00,20:00:00,西西北,强热带风暴,2024/9/16 20:00,28,119.4,31.8
2024/9/16 0:00,21:00:00,西西北,强热带风暴,2024/9/16 21:00,28,119.1,31.8
2024/9/16 0:00,22:00:00,/,强热带风暴,2024/9/16 22:00,28,118.9,31.9
2024/9/16 0:00,23:00:00,西西北,强热带风暴,2024/9/16 23:00,25,118.8,31.9
2024/9/17 0:00,0:00:00,西西北,强热带风暴,2024/9/17 0:00,25,118.5,32
2024/9/17 0:00,1:00:00,西西北,强热带风暴,2024/9/17 1:00,25,118.3,32.1
2024/9/17 0:00,2:00:00,西西北,热带风暴,2024/9/17 2:00,23,118.1,32.2
2024/9/17 0:00,3:00:00,西西北,热带风暴,2024/9/17 3:00,20,118,32.2
2024/9/17 0:00,4:00:00,西西北,热带风暴,2024/9/17 4:00,20,117.8,32.3
2024/9/17 0:00,5:00:00,西西北,热带风暴,2024/9/17 5:00,18,117.6,32.4
2024/9/17 0:00,6:00:00,西西北,热带风暴,2024/9/17 6:00,18,117.3,32.5
2024/9/17 0:00,7:00:00,西西北,热带风暴,2024/9/17 7:00,18,117.2,32.5
2024/9/17 0:00,8:00:00,西西北,热带风暴,2024/9/17 8:00,18,117,32.6
2024/9/17 0:00,9:00:00,西西北,热带风暴,2024/9/17 9:00,18,116.9,32.6
2024/9/17 0:00,10:00:00,西西北,热带风暴,2024/9/17 10:00,18,116.8,32.7
2024/9/17 0:00,11:00:00,西,热带风暴,2024/9/17 11:00,18,116.7,32.8
2024/9/17 0:00,12:00:00,西,热带风暴,2024/9/17 12:00,18,116.6,32.9
2024/9/17 0:00,13:00:00,西,热带风暴,2024/9/17 13:00,18,116.5,33
2024/9/17 0:00,14:00:00,西,热带风暴,2024/9/17 14:00,18,116.3,33
2024/9/17 0:00,15:00:00,西,热带风暴,2024/9/17 15:00,18,116.2,33
2024/9/17 0:00,16:00:00,西,热带风暴,2024/9/17 16:00,18,116.1,33.1
2024/9/17 0:00,17:00:00,西西北,热带低压,2024/9/17 17:00,15,116.1,33.1
2024/9/17 0:00,20:00:00,西西北,热带低压,2024/9/17 20:00,15,115.9,33.1
2024/9/17 0:00,23:00:00,西西北,热带低压,2024/9/17 23:00,15,115.7,33.2
2024/9/18 0:00,2:00:00,西,热带低压,2024/9/18 2:00,15,115.4,33.3
2024/9/18 0:00,5:00:00,西,热带低压,2024/9/18 5:00,12,115.2,33.5
2024/9/18 0:00,8:00:00,西,热带低压,2024/9/18 8:00,12,115,33.5
2024/9/18 0:00,11:00:00,/,热带低压,2024/9/18 11:00,12,114.8,33.5
2024/9/18 0:00,14:00:00,/,热带低压,2024/9/18 14:00,12,114.8,33.4
2024/9/18 0:00,17:00:00,/,热带低压,2024/9/18 17:00,12,114.7,33.2
2024/9/18 0:00,20:00:00,南,热带低压,2024/9/18 20:00,12,114.9,32.7
